spp;comp_fl_cm;cor_fl
Annona mucosa;2;amarelo
Bactris gasipaes;0.6;amarelo
Cecropia hololeuca;10.56;branco
Ceiba speciosa;6.9;rosa 
Clitoria fairchildiana;0.4;roxo
Cupania vernalis;0.5;amarelo
Euterpe edulis;0.43;branco
Guarea guidonia;2.52;branco 
Inga edulis;1.4;branco
Inga laurina;1.3;branco
Inga vera;16.35;branco
Luehea divaricata;2.75;roxo
Miconia prasina;1.06;branco
Myrciaria tenella;0.21;branco
Myrsine coriacea;0.28;amarelo 
Ocotea laxa;0.33;amarelo
Ocotea macrantha;0.35;amarelo
Piptadenia macradenia;0.35;branco
Pityrocarpa gonoacantha;0.16;amarelo
Pityrocarpa paniculata;0.01;amarelo
Plathymenia reticulata;0.5;branco 
Pleroma granulosum;3.83;roxo
Schinus terebinthifolia;0.5;amarelo 
Sparattosperma leucanthum;6.1;branco 
Tecoma stans;2.81;amarelo
Theobroma cacao;0.35;amarelo 
Vachellia farnesiana;1.92;amarelo 
Vitex megapotamica;1;lilas
Vochysia divergens;1.85;amarelo 
